Elevation,Sig1,Total_S4_Sig1,Correction_total_S4_Sig1,y
22.0,43.8,0.16699999999999998,0.064,0
37.0,47.8,0.081,0.040999999999999995,0
31.0,46.5,0.073,0.047,0
35.0,47.3,0.087,0.043,0
22.0,43.2,0.147,0.069,0
68.0,50.6,0.054000000000000006,0.03,0
55.0,49.5,0.054000000000000006,0.033,0
70.0,51.6,0.045,0.026000000000000002,0
31.0,45.3,0.102,0.054000000000000006,0
22.0,43.0,0.134,0.071,0
36.0,47.3,0.08,0.043,0
31.0,45.7,0.121,0.052000000000000005,0
36.0,46.5,0.068,0.048,0
67.0,50.6,0.055,0.03,0
55.0,50.0,0.055,0.031,0
70.0,51.7,0.043,0.026000000000000002,0
31.0,45.9,0.094,0.051,0
36.0,46.8,0.09300000000000001,0.046,0
32.0,45.7,0.126,0.052000000000000005,0
36.0,47.0,0.084,0.045,0
67.0,50.5,0.053,0.03,0
54.0,50.0,0.048,0.032,0
71.0,52.0,0.040999999999999995,0.025,0
32.0,45.5,0.08900000000000001,0.053,0
23.0,44.1,0.152,0.062,0
36.0,47.0,0.085,0.045,0
32.0,46.0,0.122,0.05,0
36.0,47.0,0.084,0.045,0
20.0,42.1,0.135,0.078,0
66.0,50.3,0.064,0.03,0
54.0,49.8,0.048,0.032,0
71.0,51.9,0.040999999999999995,0.025,0
32.0,45.6,0.105,0.053,0
23.0,43.0,0.156,0.071,0
35.0,47.8,0.121,0.040999999999999995,0
33.0,46.1,0.091,0.05,0
37.0,46.6,0.08,0.047,0
66.0,50.4,0.062,0.03,0
54.0,50.0,0.042,0.031,0
71.0,51.9,0.047,0.026000000000000002,0
32.0,46.1,0.069,0.049,0
24.0,43.3,0.10099999999999999,0.068,0
35.0,47.3,0.081,0.043,0
33.0,46.9,0.079,0.045,0
37.0,46.3,0.079,0.048,0
20.0,42.9,0.147,0.07200000000000001,0
65.0,50.5,0.064,0.03,0
54.0,49.6,0.043,0.033,0
72.0,51.8,0.048,0.026000000000000002,0
32.0,46.6,0.079,0.047,0
24.0,43.9,0.08199999999999999,0.064,0
34.0,46.6,0.086,0.047,0
34.0,45.9,0.08900000000000001,0.051,0
38.0,46.6,0.086,0.047,0
19.0,41.5,0.195,0.084,0
65.0,50.6,0.07200000000000001,0.03,0
54.0,49.7,0.05,0.033,0
72.0,51.9,0.045,0.025,0
33.0,46.0,0.133,0.05,0
24.0,43.9,0.11599999999999999,0.064,0
34.0,46.6,0.083,0.047,0
34.0,46.8,0.07,0.046,0
38.0,46.4,0.08199999999999999,0.048,0
64.0,50.5,0.098,0.03,0
54.0,49.7,0.055999999999999994,0.033,0
72.0,52.0,0.038,0.025,0
33.0,45.5,0.09,0.053,0
25.0,45.0,0.079,0.055999999999999994,0
34.0,46.6,0.106,0.047,0
34.0,46.9,0.064,0.045,0
38.0,46.7,0.083,0.046,0
19.0,41.4,0.195,0.085,0
64.0,50.5,0.081,0.03,0
53.0,49.6,0.048,0.033,0
73.0,52.1,0.042,0.025,0
33.0,46.2,0.061,0.049,0
25.0,44.5,0.092,0.06,0
33.0,46.8,0.1,0.046,0
35.0,46.5,0.063,0.047,0
39.0,46.6,0.075,0.047,0
18.0,41.6,0.11599999999999999,0.083,0
63.0,50.7,0.053,0.028999999999999998,0
