GPS TOW,Freq,SV Sys,PrimSig,SigType,TEC,TECdot
546856.000,0,0,1,7,-22.504282,280116.500000
546857.000,0,0,1,7,-34.660675, 0.035952
546858.000,0,0,1,7,-15.335186, 0.022976
546859.000,0,0,1,7,-8.191596, 0.040901
546860.000,0,0,1,7,-16.522306,-0.048134
546861.000,0,0,1,4,65.438606,6920608.000000
546861.000,0,0,1,7,-20.953142, 0.043039
546862.000,0,0,1,4,111.971718,-0.232754
546862.000,0,0,1,7,-21.648720, 0.032992
546863.000,0,0,1,4,149.296570,-0.078718
546863.000,0,0,1,7,-19.492428,-0.143170
546864.000,0,0,1,4,128.534637, 0.167762
546864.000,0,0,1,7,-18.546440, 0.109337
546865.000,0,0,1,4,58.646843,-0.049433
546865.000,0,0,1,7,-20.245970, 0.019264
546866.000,0,0,1,4,72.949631,-0.119435
546866.000,0,0,1,7,-16.788946,-0.135162
546867.000,0,0,1,4,44.639717, 0.106184
546867.000,0,0,1,7,-17.811445, 0.104662
546868.000,0,0,1,4,12.724963, 0.046005
546868.000,0,0,1,7,-20.125404,-0.077939
546869.000,0,0,1,4,20.378136, 0.049895
546869.000,0,0,1,7,-18.379501, 0.007405
546870.000,0,0,1,4,35.397346,-0.133005
546870.000,0,0,1,7,-17.846224,-0.016283
546871.000,0,0,1,4,39.189816, 0.045565
546871.000,0,0,1,7,-19.610676,-0.027097
546872.000,0,0,1,4,37.381710,-0.046989
546872.000,0,0,1,7,-19.114496, 0.114084
546873.000,0,0,1,4,27.363220,-0.094384
546873.000,0,0,1,7,-18.247341,-0.086943
546874.000,0,0,1,4,36.196209, 0.102309
546874.000,0,0,1,7,-17.345407, 0.047978
546875.000,0,0,1,4,50.280094, 0.035080
546875.000,0,0,1,7,-17.208611, 0.051207
546876.000,0,0,1,4,37.589245,-0.044030
546876.000,0,0,1,7,-15.912517,-0.015855
546877.000,0,0,1,4,45.108799,-0.014800
546877.000,0,0,1,7,-14.512085,-0.106864
546878.000,0,0,1,4,44.236019,-0.003392
546878.000,0,0,1,7,-15.047681, 0.066539
546879.000,0,0,1,4,38.314194, 0.075565
546879.000,0,0,1,7,-13.688984, 0.055366
546880.000,0,0,1,4,27.840832,-0.112260
546880.000,0,0,1,7,-13.600878,-0.155256
546881.000,0,0,1,4,33.663155, 0.154918
546881.000,0,0,1,7,-13.025866, 0.059317
546882.000,0,0,1,4,38.075386,-0.177542
546882.000,0,0,1,7,-12.875157,-0.014808
546883.000,0,0,1,4,32.284336, 0.131006
546883.000,0,0,1,7,-11.655577, 0.097828
546884.000,0,0,1,4,27.857889, 0.044408
546884.000,0,0,1,7,-11.119981,-0.005807
546885.000,0,0,1,4,23.098822,-0.114076
546885.000,0,0,1,7,-11.196495,-0.041880
546886.000,0,0,1,4,24.170607,-0.099321
546886.000,0,0,1,7,-11.428354,-0.049736
546887.000,0,0,1,4,23.658878, 0.122198
546887.000,0,0,1,7,-12.177260, 0.044292
546888.000,0,0,1,4,15.906204,-0.018780
546888.000,0,0,1,7,-11.528053,-0.040668
546889.000,0,0,1,4, 9.475492, 0.005324
546889.000,0,0,1,7,-10.505553, 0.020935
546890.000,0,0,1,4, 6.532895, 0.090559
546890.000,0,0,1,7,-9.798382, 0.040330
546891.000,0,0,1,4, 5.009084,-0.022824
546891.000,0,0,1,7,-9.675496,-0.094665
546892.000,0,0,1,4,-0.770597, 0.026575
546892.000,0,0,1,7,-9.619850, 0.084741
546893.000,0,0,1,4,-9.006571,-0.198849
546893.000,0,0,1,7,-9.232645, 0.009362
546894.000,0,0,1,4,-9.140188, 0.000455
546894.000,0,0,1,7,-8.734147,-0.077511
546895.000,0,0,1,4,-15.678931, 0.053518
546895.000,0,0,1,7,-8.778200, 0.044630
546896.000,0,0,1,4,-8.818937,-55337008.000000
546896.000,0,0,1,7,-8.339986, 0.015519
546897.000,0,0,1,4,-15.030744, 0.004163
546897.000,0,0,1,7,-7.672230,-0.037356
546898.000,0,0,1,4,-11.400319, 0.098717
546898.000,0,0,1,7,-7.901772,-0.034075
546899.000,0,0,1,4,-21.538214, 0.108393
546899.000,0,0,1,7,-7.846125, 0.041182
546900.000,0,0,1,4,-17.825346, 0.092078
546900.000,0,0,1,7,-8.486057, 0.118300
546901.000,0,0,1,4,-25.433031,-0.181897
546901.000,0,0,1,7,-8.618217,-0.154265
546902.000,0,0,1,4,-24.489178, 0.288466
546902.000,0,0,1,7,-8.342304, 0.069338
546903.000,0,0,1,4,-27.255350,-0.033609
546903.000,0,0,1,7,-8.064073,-0.060531
546904.000,0,0,1,4,-32.500561,-0.156972
546904.000,0,0,1,7,-7.412548,-0.081467
546905.000,0,0,1,4,-26.627062,-0.033748
546905.000,0,0,1,7,-7.185326, 0.040086
546906.000,0,0,1,4,-25.390387,-0.016246
546906.000,0,0,1,7,-7.194600, 0.040639
546907.000,0,0,1,4,-25.060606, 0.014916
546907.000,0,0,1,7,-7.252565, 0.019691
546908.000,0,0,1,4,-24.699554, 0.006589
546908.000,0,0,1,7,-7.215467,-0.088527
546909.000,0,0,1,4,-27.920597,57442652.000000
546909.000,0,0,1,7,-6.299622, 0.105079
546910.000,0,0,1,4,-29.811146, 0.020446
546910.000,0,0,1,7,-5.251617,-0.122810
546911.000,0,0,1,4,-29.694586, 0.167495
546911.000,0,0,1,7,-4.776305, 0.021053
546912.000,0,0,1,4,-26.410999, 0.170715
546912.000,0,0,1,7,-4.604729,-0.004508
546913.000,0,0,1,4,-28.926994, 0.259707
546913.000,0,0,1,7,-4.739208, 0.103513
546914.000,0,0,1,4,-27.329266,-0.165474
546914.000,0,0,1,7,-4.743845,-0.084837
546915.000,0,0,1,4,-26.061319,-0.078349
546915.000,0,0,1,7,-4.488800,-0.059759
546916.000,0,0,1,4,-26.726564,-0.033974
546916.000,0,0,1,7,-3.967116, 0.079783
546917.000,0,0,1,4,-21.376167,-0.034470
546917.000,0,0,1,7,-3.844230, 0.046050
546918.000,0,0,1,4,-21.580858, 0.018928
546918.000,0,0,1,7,-4.467932,-0.069168
546919.000,0,0,1,4,-22.655487,-0.053560
546919.000,0,0,1,7,-4.349684, 0.045546
546920.000,0,0,1,4,-24.239000, 0.016867
546920.000,0,0,1,7,-4.324180, 0.004797
546921.000,0,0,1,4,-27.175749, 0.094316
546921.000,0,0,1,7,-3.983346, 0.076632
546922.000,0,0,1,4,-30.334246,-0.195251
546922.000,0,0,1,7,-4.185064,-0.129352
546923.000,0,0,1,4,-30.644125, 0.164384
546923.000,0,0,1,7,-4.463295, 0.089669
546924.000,0,0,1,4,-32.736523,-0.021756
546924.000,0,0,1,7,-4.152604, 0.052657
546925.000,0,0,1,4,-30.863031,-0.207637
546925.000,0,0,1,7,-3.366600,-0.138289
546926.000,0,0,1,4,-31.485632, 0.082525
