Phase and Amplitude Scintillation Indices

Satellite System: 0 = GPS, 1 = GLONASS, 2 = SBAS, 5 = GALILEO, 6 = COMPASS, 7 = QZSS, 8 = LBAND

Frequency: GLONASS frequency channel (-7 to +6) 

Signal Type for each Satellite System

GPS     : 1 = L1CA,     4 = L2Y,  5 = L2C, 6 = L2P,    7 = L5Q
GLONASS : 1 = L1CA,     3 = L2CA, 4 = L2P
SBAS    : 1 = L1CA,     2 = L5I
GALILEO : 1 = E1,       2 = E5A,  3 = E5B, 4 = ALTBOC, 5 = E6
COMPASS : 1 = E2
QZSS    : 1 = L1CA,     3 = L2C,  4 = L5Q
LBAND   : 1 = OMNISTAR, 2 = CDGPS

GPS Week: 2117,  Satellite System: 0

GPS TOW , PRN, Freq, SigType, Az , Elv , CNo , Lock Time, CMC Avg, CMC Std , S4 , S4 Cor, 1SecSigma, 3SecSigma, 10SecSigma, 30SecSigma, 60SecSigma 
 95820.00,1,0,1, 309.07,14.82,36.24,23.049999,2.885,0.412,0.000000,0.154710,3369533.000000,6141096.500000,6572868.500000,6660747.000000,6659741.000000 
 95820.00,1,0,7, 309.07,14.82,39.41,20.809999,-843.922,0.041,0.000000,0.107161,2345290.500000,4030547.750000,4591527.000000,4695447.500000,4694698.500000 
 95880.00,1,0,1, 308.67,14.98,36.75,83.050003,2.219,0.244,0.274356,0.145810,36153.992188,90706.250000,241441.359375,247027.609375,249710.531250 
 95880.00,1,0,7, 308.67,14.98,39.32,80.809998,-844.109,0.043,0.152620,0.108335,48104.136719,140972.187500,201329.734375,203452.421875,204215.000000 
 95940.00,1,0,1, 308.27,15.13,38.13,143.050003,2.651,0.217,0.200907,0.124206,2.736483,7.956442,11.334189,11.480484,11.535442 
 95940.00,1,0,7, 308.27,15.13,39.59,140.809998,-844.166,0.008,0.151655,0.104971,2.217382,6.092216,14.926554,15.079127,15.162868 
 96000.00,1,0,1, 307.87,15.28,36.99,203.050003,2.824,0.070,0.248250,0.141848,0.171483,0.176816,0.190641,0.190601,0.190657 
 96000.00,1,0,7, 307.87,15.28,39.80,200.809998,-844.091,0.028,0.140801,0.102468,0.118180,0.122937,0.135003,0.135013,0.135064 
 96060.00,1,0,1, 307.43,15.43,34.58,263.049988,1.913,0.452,0.251962,0.187445,0.212566,0.218847,0.228481,0.228504,0.228528 
 96060.00,1,0,7, 307.43,15.43,39.25,260.809998,-844.101,0.037,0.155272,0.109167,0.127683,0.133551,0.141140,0.141281,0.141280 
 96120.00,1,0,1, 307.05,15.57,34.99,323.049988,1.457,0.078,0.235945,0.178799,0.201009,0.211874,0.223582,0.224349,0.224350 
 96120.00,1,0,7, 307.05,15.57,39.90,320.809998,-844.162,0.019,0.165155,0.101331,0.122345,0.131825,0.142478,0.143214,0.143227 
 97140.00,1,0,1, 299.76,17.38,41.10,58.570000,1.532,0.201,0.000000,0.088228,6762053.000000,10414995.000000,11843974.000000,11875589.000000,11873714.000000 
 97140.00,1,0,7, 299.76,17.38,49.70,56.430000,-843.940,0.009,0.000000,0.032725,2770063.250000,4092193.250000,4506719.500000,4542758.500000,4542046.500000 
 97200.00,1,0,1, 299.31,17.45,41.17,118.570000,1.557,0.056,0.102210,0.087490,218.472229,562.101746,1190.835449,1228.800049,1245.811768 
 97200.00,1,0,7, 299.31,17.45,49.56,116.430000,-843.957,0.005,0.047860,0.033263,139.595963,417.255157,652.863281,653.072083,653.064819 
 97260.00,1,0,1, 298.84,17.52,40.41,178.570007,1.665,0.053,0.120356,0.095533,0.097423,0.118205,0.149011,0.149384,0.149360 
 97260.00,1,0,7, 298.84,17.52,49.41,176.429993,-843.930,0.006,0.049721,0.033868,0.050939,0.065631,0.090691,0.091758,0.092074 
 97320.00,1,0,1, 298.42,17.58,41.66,238.570007,1.484,0.085,0.136019,0.082647,0.088791,0.102443,0.126261,0.126428,0.126436 
 97320.00,1,0,7, 298.42,17.58,49.23,236.429993,-843.958,0.021,0.063962,0.034577,0.051990,0.065001,0.083945,0.084108,0.084114 
 97380.00,1,0,1, 297.97,17.64,41.52,298.570007,2.005,0.166,0.093223,0.084031,0.085342,0.105013,0.132776,0.133249,0.133231 
 97380.00,1,0,7, 297.97,17.64,48.38,296.429993,-844.041,0.016,0.054703,0.038097,0.056295,0.071775,0.094485,0.094905,0.094893 
 97440.00,1,0,1, 297.52,17.69,41.80,358.570007,2.220,0.031,0.095101,0.081380,0.089300,0.106258,0.126466,0.127896,0.127885 
 97440.00,1,0,7, 297.52,17.69,48.36,356.429993,-844.023,0.025,0.055748,0.038183,0.055189,0.069801,0.085722,0.086963,0.086964 
 97500.00,1,0,1, 297.06,17.74,42.49,418.570007,2.238,0.027,0.105593,0.075137,0.081263,0.092277,0.103006,0.103341,0.103333 
 97500.00,1,0,7, 297.06,17.74,48.08,416.429993,-843.902,0.036,0.056959,0.039460,0.053691,0.062421,0.071078,0.071402,0.071404 
 97560.00,1,0,1, 296.59,17.79,43.84,478.570007,2.629,0.284,0.143026,0.064321,0.072185,0.085066,0.101934,0.102993,0.102983 
 97560.00,1,0,7, 296.59,17.79,47.90,476.429993,-843.828,0.010,0.062059,0.040271,0.058064,0.066954,0.078753,0.079499,0.079489 
 97620.00,1,0,1, 296.16,17.83,44.00,538.570007,2.926,0.218,0.103173,0.063111,0.073973,0.086757,0.097387,0.097579,0.097568 
 97620.00,1,0,7, 296.16,17.83,47.90,536.429993,-843.797,0.010,0.068531,0.040302,0.058220,0.067937,0.076257,0.076323,0.076312 
 97680.00,1,0,1, 295.70,17.87,42.67,598.570007,1.879,0.340,0.117614,0.073563,0.086086,0.103053,0.129571,0.130336,0.130472 
 97680.00,1,0,7, 295.70,17.87,48.86,596.429993,-843.749,0.023,0.074145,0.036083,0.054522,0.070157,0.090080,0.090640,0.090759 
 97740.00,1,0,1, 295.24,17.90,41.78,658.570007,1.182,0.049,0.129103,0.081541,0.086623,0.096505,0.117162,0.118178,0.118240 
 97740.00,1,0,7, 295.24,17.90,49.06,656.429993,-843.642,0.030,0.052773,0.035231,0.051299,0.061241,0.077198,0.078041,0.078085 
 97800.00,1,0,1, 294.79,17.93,41.01,718.570007,0.866,0.192,0.117102,0.089107,0.103663,0.115757,0.125775,0.125949,0.126105 
 97800.00,1,0,7, 294.79,17.93,48.78,716.429993,-843.639,0.031,0.057536,0.036408,0.052460,0.065362,0.076769,0.077057,0.077246 
 97860.00,1,0,1, 294.30,17.96,41.08,778.570007,0.598,0.015,0.151639,0.088417,0.122389,0.137391,0.157367,0.158376,0.158432 
 97860.00,1,0,7, 294.30,17.96,48.38,776.429993,-843.764,0.032,0.057655,0.038114,0.056221,0.074067,0.093286,0.094323,0.094370 
