GPS TOW,PRN,Freq,PrimSig,SigType,Azimuth,Elevation,SecSig Lock Time,SecSig CNo,TEC15,TECRate15,TEC30,TECRate30,TEC45,TECRate45,TECTOW,TECRateTOW
 523140.00, 1, 0, 1, 4, 309.419281, 14.605068, 28.160000, 29.314, 0.000000, 0.000000, 0.000000,0.000000, 36.742050, -3601615.750000, 14.925246, 0.066327 
 523140.00, 1, 0, 1, 7, 309.419281, 14.605068, 33.590000, 40.768, 0.000000, 0.000000, 9.376398,-9457316.000000, 23.672853, -0.145612, 23.939022, 0.026797 
 523200.00, 1, 0, 1, 4, 309.022278, 14.763918, 88.160004, 33.064, 15.060166, 0.134920, 14.899830,-0.160337, 15.018682, 0.118853, 25.791573, -0.018760 
 523200.00, 1, 0, 1, 7, 309.022278, 14.763918, 93.589996, 39.496, 24.121540, 0.182519, 23.965162,-0.156379, 23.935541, -0.029620, 12.340216, -0.084294 
 523260.00, 1, 0, 1, 4, 308.619263, 14.920435, 148.160004, 30.546, 25.787378, -0.004195, 25.807144,0.019767, 25.737398, -0.069746, 13.249510, 0.108584 
 523260.00, 1, 0, 1, 7, 308.619263, 14.920435, 153.589996, 39.032, 12.521463, 0.181249, 12.442451,-0.079013, 12.405172, -0.037279, -0.795780, 0.035597 
 523320.00, 1, 0, 1, 4, 308.221802, 15.070868, 208.160004, 33.963, 13.098375, -0.151134, 13.215326,0.116951, 13.204479, -0.010847, 12.160907, -0.150268 
 523320.00, 1, 0, 1, 7, 308.221802, 15.070868, 213.589996, 38.121, -0.850414, -0.054634, -0.775814,0.074600, -0.860976, -0.085162, -11.658367, 0.016952 
 523380.00, 1, 0, 1, 4, 307.816803, 15.218615, 268.160004, 32.361, 12.256620, 0.095714, 12.369506,0.112885, 12.246548, -0.122958, 15.142502, 0.093872 
 523380.00, 1, 0, 1, 7, 307.816803, 15.218615, 273.589996, 38.286, -11.540439, 0.117928, -11.534221,0.006218, -11.589332, -0.055111, -16.020361, -0.091246 
 523440.00, 1, 0, 1, 4, 307.409332, 15.362630, 328.160004, 32.177, 15.029485, -0.113017, 15.156516,0.127032, 15.174823, 0.018307, 17.754896, 0.081673 
 523440.00, 1, 0, 1, 7, 307.409332, 15.362630, 333.589996, 39.228, -15.984150, 0.036210, -15.898206,0.085945, -15.924696, -0.026491, -16.987217, 0.120065 
 523500.00, 1, 0, 1, 4, 306.999359, 15.502880, 388.160004, 34.654, 17.702202, -0.052695, 17.600855,-0.101348, 17.834347, 0.233493, 20.815233, -0.066875 
 523500.00, 1, 0, 1, 7, 306.999359, 15.502880, 393.589996, 40.110, -17.102808, -0.115592, -17.235521,-0.132714, -17.036888, 0.198633, -15.788772, 0.080305 
 523560.00, 1, 0, 1, 4, 306.583527, 15.640469, 448.160004, 31.044, 20.803234, -0.011999, 20.838053,0.034819, 20.736757, -0.101296, 24.745548, 0.079516 
 523560.00, 1, 0, 1, 7, 306.583527, 15.640469, 453.589996, 41.844, -15.807672, -0.018901, -15.840055,-0.032384, -15.837039, 0.003016, -12.157194, 0.076636 
 523620.00, 1, 0, 1, 4, 306.172241, 15.772001, 508.160004, 30.888, 24.834400, 0.088851, 24.765453,-0.068947, 24.809763, 0.044309, 26.545433, -0.046062 
 523620.00, 1, 0, 1, 7, 306.172241, 15.772001, 513.590027, 42.725, -12.179433, -0.022239, -12.176695,0.002738, -12.184616, -0.007921, -8.507114, 0.055901 
 523680.00, 1, 0, 1, 4, 305.755157, 15.900820, 568.159973, 34.985, 26.721136, 0.175703, 26.554201,-0.166936, 26.658087, 0.103887, 26.894348, -0.043412 
 523680.00, 1, 0, 1, 7, 305.755157, 15.900820, 573.590027, 42.819, -8.455868, 0.051246, -8.464521,-0.008653, -8.497811, -0.033290, -6.559145, 0.009533 
 523740.00, 1, 0, 1, 4, 305.335815, 16.025787, 628.159973, 35.425, 27.009106, 0.114758, 26.920580,-0.088525, 27.107046, 0.186466, 27.220539, 0.113493 
 523740.00, 1, 0, 1, 7, 305.335815, 16.025787, 633.590027, 43.403, -6.494267, 0.064877, -6.519023,-0.024756, -6.412768, 0.106255, -4.416580, 0.096707 
 523800.00, 1, 0, 1, 4, 304.914246, 16.146896, 688.159973, 36.187, 27.295937, -0.223195, 27.299631,0.003695, 27.359781, 0.060149, 27.464138, 0.104357 
 523800.00, 1, 0, 1, 7, 304.914246, 16.146896, 693.590027, 44.053, -4.571297, -0.154716, -4.509843,0.061453, -4.544085, -0.034242, -2.589027, 0.068052 
 523860.00, 1, 0, 1, 4, 304.490509, 16.264099, 748.159973, 37.754, 27.843616, -0.006844, 27.891001,0.047384, 27.871717, -0.019283, 27.915186, 0.043468 
 523860.00, 1, 0, 1, 7, 304.490509, 16.264099, 753.590027, 44.812, -2.547918, 0.041109, -2.499864,0.048055, -2.520232, -0.020369, -1.069407, 0.057403 
